Company,Logo URL,Offer,Expire Date,Bank Name
lululemon,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7mtCEAQ,"Spend $100 or more, earn $20 back",01/26/2025,American Express
"Hilton - Mexico, Caribbean, & Latin America",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7om4EAA,"Spend $750 or more, earn $150 back",03/31/2025,American Express
At Home,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7pFrEAI,"Earn 2% back on purchases, up to a total of $250",01/01/2025,American Express
West Marine - Boating Accessories & Supplies,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oxHEAQ,"Spend $100 or more, earn $30 back",02/23/2025,American Express
Wag! – Pet Care from Local Caregivers,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7Q3WEAU,"Spend $60 or more, earn $25 back, up to 2 times (total of $50).",04/05/2025,American Express
Red Lobster,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7qdZEAQ,"Spend $50 or more, earn $10 back, up to 2 times (total of $20).",02/13/2025,American Express
"Topgolf - Golf, Party Venue, Sports Bar & Restaurant",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001Oye3kEAB,"Spend $100 or more, earn $20 back, up to 2 times (total of $40).",01/13/2025,American Express
Hilton - Las Vegas & Nevada locations,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001EnLFUEA3,"Spend $500 or more, earn $100 back",03/17/2025,American Express
Warby Parker,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cJFdYEAW,"Spend $90 or more, earn $20 back",02/23/2025,American Express
urbanoutfitters,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzYEAQ,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
TomThumb - Gas Pump Only,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7Wr8EAE,"Earn 5% back on purchases, up to a total of $20",05/31/2025,American Express
Exxon Mobil Rewards+™ App,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001Em0mFEAR,"Spend $25 or more, get $5 back",12/31/2024,American Express
American Express Venue Collection™,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7e9AEAQ,"Earn 10% back on qualifying concessions purchases, up to $250 per calendar year",12/31/2026,American Express
Oriental Trading Company,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cGT7GEAW,"Spend $75 or more, earn $15 back",02/15/2025,American Express
"MoMA Design Store - Gifts, Home Decor, Tech and Toys",https://www.aexp-static.com/amexoffers/images/logos/00P3Z00001YZg60UAD,"Spend $150 or more, earn $15 back",02/28/2025,American Express
SharperImage,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oZCEAY,"Spend $100 or more, earn $20 back",02/26/2025,American Express
Spokeo,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nsxEAA,"Spend $15 or more, earn $3 back",05/18/2025,American Express
Pandora Jewelry,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7pFwEAI,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
Levi's,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7iqpEAA,"Spend $175 or more, earn $35 back",02/15/2025,American Express
"TurboTax - Online, Live Assisted & Full Service",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7rRbEAI,"Spend $50 or more, earn $20",04/16/2025,American Express
ruggable,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ockEAA,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
Natori - Lingerie and Clothing,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oRJEAY,"Spend $75 or more, earn $25 back",04/05/2025,American Express
Athleta,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7bfnEAA,"Spend $150 or more, earn $30",12/31/2024,American Express
OfficeSupply,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001SeC7KEAV,"Spend $75 or more, earn $20 back",01/31/2025,American Express
Tecovas,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001fmJ8IEAU,"Spend $250 or more, earn $50 back",03/23/2025,American Express
clinique,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7odYEAQ,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
Rocket Lawyer - Online Legal Services,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7l0MEAQ,"Spend $239 or more, earn $95",02/28/2025,American Express
Select Best Western® & SureStay® Hotels - US & Canada,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7mWBEAY,"Spend $500 or more, earn $100 back at select locations in the US and Canada",12/31/2024,American Express
Oura - Smart Ring,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7Qm4EAE,"Spend $250 or more, get $50 back",01/02/2025,American Express
Jared - Engagement and Fine Jewelry,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nAzEAI,"Spend $500 or more, earn $100 back",02/15/2025,American Express
stio,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7od4EAA,"Earn 8% back on purchases, up to a total of $250",01/01/2025,American Express
PGA National Resort,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cJMoPEAW,"Spend $750 or more, earn $150 back",03/02/2025,American Express
Tommy John,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ariEAA,"Spend $60 or more, earn $15 back",01/31/2025,American Express
newegg,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzsEAA,"Earn 2% back on purchases, up to a total of $250",01/01/2025,American Express
Aldo Shoes,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7pFmEAI,"Earn 5% back on purchases, up to a total of $250",01/01/2025,American Express
Tonal - Smart Home Gym,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001CiM0lEAF,"Spend $1,000 or more, get $250 back",12/31/2024,American Express
Spencer’s,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7aamEAA,"Spend $50 or more, earn $10 back",12/31/2024,American Express
frankandeileen,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzOEAQ,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
Wilson Sporting Goods,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nApEAI,"Spend $125 or more, earn $25 back",02/11/2025,American Express
keurig,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ktkEAA,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
Thirsty Lion,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7m9TEAQ,"Spend $50 or more, earn $10",02/01/2025,American Express
