Bank_Website,Bank,Company,Offer,Expire Date,Logo,CleanName
https://www.bankofamerica.com,Bank Of America,Nandana,120% off,12/29/2024,https://logo.clearbit.com/Nandana.com,Nandana
https://www.bankofamerica.com,Bank Of America,Vrbo,Up to 20%,03/13/2025,https://toesimg.bankofamerica.com/deals?=63155128128.png,Vrbo
https://www.bankofamerica.com,Bank Of America,Lenovo,5-50%,02/05/2025,https://toesimg.bankofamerica.com/deals?=63523128128.png,Lenovo
https://www.bankofamerica.com,Bank Of America,Notarize,15%,01/08/2025,https://toesimg.bankofamerica.com/deals?=63413128128.png,Notarize
https://www.bankofamerica.com,Bank Of America,Clinique,4%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63572128128.png,Clinique
https://www.bankofamerica.com,Bank Of America,Celebrity Cruise Lines,15%,02/14/2025,https://toesimg.bankofamerica.com/deals?=63409128128.png,CelebrityCruiseLines
https://www.bankofamerica.com,Bank Of America,Booking,Up to 20%,03/13/2025,https://toesimg.bankofamerica.com/deals?=62621128128.png,Booking
https://www.bankofamerica.com,Bank Of America,Starbucks,Use Link,08/14/2025,https://toesimg.bankofamerica.com/deals?=63042128128.png,Starbucks
https://www.bankofamerica.com,Bank Of America,Hotels,Up to 20%,01/09/2025,https://toesimg.bankofamerica.com/deals?=63516128128.png,Hotels
https://www.bankofamerica.com,Bank Of America,Rentalcars,5%,12/31/2024,https://toesimg.bankofamerica.com/deals?=62944128128.png,Rentalcars
https://www.bankofamerica.com,Bank Of America,Paramount,$3.00,12/31/2024,https://toesimg.bankofamerica.com/OPS/BankImages.ashx?ImageId=202412131000071072,Paramount
https://www.bankofamerica.com,Bank Of America,Instant Travel,5- 20%,01/09/2025,https://toesimg.bankofamerica.com/deals?=63533128128.png,InstantTravel
https://www.bankofamerica.com,Bank Of America,Expedia,Up to 20%,03/13/2025,https://toesimg.bankofamerica.com/deals?=62654128128.png,Expedia
https://www.bankofamerica.com,Bank Of America,AFC,Up to $300,01/11/2025,https://toesimg.bankofamerica.com/deals?=63527128128.png,AFC
https://www.bankofamerica.com,Bank Of America,Levi's,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63576128128.png,Levis
https://www.bankofamerica.com,Bank Of America,Redbubble,10%,12/31/2024,https://toesimg.bankofamerica.com/OPS/BankImages.ashx?ImageId=202412181000067660,Redbubble
https://www.bankofamerica.com,Bank Of America,Silversea,15%,02/14/2025,https://toesimg.bankofamerica.com/deals?=63410128128.png,Silversea
https://www.bankofamerica.com,Bank Of America,The Knot Invitations,$20.00,02/15/2025,https://toesimg.bankofamerica.com/OPS/BankImages.ashx?ImageId=202412211000071724,TheKnotInvitations
https://www.bankofamerica.com,Bank Of America,Turbo Tax,$20,04/15/2025,https://toesimg.bankofamerica.com/deals?=63557128128.png,TurboTax
https://www.bankofamerica.com,Bank Of America,QVC,3%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63452128128.png,QVC
https://www.bankofamerica.com,Bank Of America,Royal Caribbean,15%,02/14/2025,https://toesimg.bankofamerica.com/deals?=63407128128.png,RoyalCaribbean
https://www.bankofamerica.com,Bank Of America,Ebay,10%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63419128128.png,Ebay
https://www.bankofamerica.com,Bank Of America,Little Caesars,10%,12/31/2024,https://toesimg.bankofamerica.com/OPS/BankImages.ashx?ImageId=202412191000070287,LittleCaesars
https://www.bankofamerica.com,Bank Of America,Teleflora,20%,01/09/2025,https://toesimg.bankofamerica.com/deals?=63529128128.png,Teleflora
https://www.bankofamerica.com,Bank Of America,Hotels,Up to 20%,03/13/2025,https://toesimg.bankofamerica.com/deals?=63219128128.png,Hotels
https://www.bankofamerica.com,Bank Of America,Sephora,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63569128128.png,Sephora
https://www.bankofamerica.com,Bank Of America,Taxact,30%,04/30/2025,https://toesimg.bankofamerica.com/deals?=63534128128.png,Taxact
https://www.bankofamerica.com,Bank Of America,1,10%,02/07/2025,https://toesimg.bankofamerica.com/OPS/BankImages.ashx?ImageId=202412241000071925,1
https://www.bankofamerica.com,Bank Of America,Sams,$10,02/02/2025,https://toesimg.bankofamerica.com/deals?=63515128128.png,Sams
https://www.bankofamerica.com,Bank Of America,Dyson,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63476128128.jpeg,Dyson
https://www.bankofamerica.com,Bank Of America,Mint,Up to 50%,02/02/2025,https://toesimg.bankofamerica.com/deals?=63507128128.png,Mint
https://www.bankofamerica.com,Bank Of America,Baskin,10%,01/31/2025,https://toesimg.bankofamerica.com/OPS/BankImages.ashx?ImageId=202412181000071795,Baskin
https://www.bankofamerica.com,Bank Of America,Ancestry,12%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63566128128.png,Ancestry
https://www.bankofamerica.com,Bank Of America,Saks,1%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63453128128.png,Saks
https://www.bankofamerica.com,Bank Of America,Lululemon,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63578128128.png,Lululemon
https://www.bankofamerica.com,Bank Of America,Macys,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63559128128.png,Macys
https://www.bankofamerica.com,Bank Of America,Bloomingdale's,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63582128128.png,Bloomingdales
https://www.bankofamerica.com,Bank Of America,Burberry,4%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63509128128.png,Burberry
https://www.bankofamerica.com,Bank Of America,Kate Spade,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63469128128.png,KateSpade
https://www.bankofamerica.com,Bank Of America,Lancome,3%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63564128128.png,Lancome
https://www.bankofamerica.com,Bank Of America,Under Armour,3%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63573128128.png,UnderArmour
https://www.bankofamerica.com,Bank Of America,Staples,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63444128128.png,Staples
https://www.bankofamerica.com,Bank Of America,Carter's,3%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63475128128.png,Carters
